DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
30-Jun-25,EQ,"2,011.50","2,013.80","1,995.50","2,014.90","2,000.00","2,001.50","2,001.16","2,027.10","1,588.05",6824510,"13,65,69,39,181.00",199780
27-Jun-25,EQ,"2,013.00","2,019.80","1,993.40","2,021.80","2,011.50","2,014.90","2,011.75","2,027.10","1,588.05",14106692,"28,37,90,71,385.70",226961
26-Jun-25,EQ,"1,981.40","2,027.10","1,980.00","1,980.20","2,017.70","2,021.80","2,011.21","2,027.10","1,588.05",25042415,"50,36,56,56,414.50",343662
25-Jun-25,EQ,"1,966.00","1,982.00","1,963.90","1,960.90","1,980.00","1,980.20","1,977.13","1,996.30","1,588.05",9202966,"18,19,54,46,515.70",206190
24-Jun-25,EQ,"1,965.00","1,979.00","1,955.60","1,948.40","1,963.70","1,960.90","1,964.12","1,996.30","1,588.05",11312661,"22,21,94,42,191.50",231814
23-Jun-25,EQ,"1,948.40","1,957.90","1,941.80","1,964.70","1,948.10","1,948.40","1,948.19","1,996.30","1,588.05",5869759,"11,43,53,95,881.10",176324
20-Jun-25,EQ,"1,931.60","1,969.90","1,931.60","1,935.30","1,963.10","1,964.70","1,960.39","1,996.30","1,588.05",16450204,"32,24,88,39,586.40",261970
19-Jun-25,EQ,"1,933.90","1,946.80","1,925.60","1,933.90","1,933.10","1,935.30","1,937.61","1,996.30","1,588.05",8438110,"16,34,97,32,658.70",202215
18-Jun-25,EQ,"1,917.00","1,936.30","1,917.00","1,929.60","1,932.50","1,933.90","1,928.12","1,996.30","1,588.05",9216908,"17,77,13,02,525.40",251910
17-Jun-25,EQ,"1,937.00","1,941.60","1,919.10","1,935.40","1,926.00","1,929.60","1,927.55","1,996.30","1,588.05",8489368,"16,36,36,91,276.80",219738
16-Jun-25,EQ,"1,924.00","1,938.90","1,920.10","1,917.60","1,936.90","1,935.40","1,933.31","1,996.30","1,588.05",8256873,"15,96,31,22,374.70",199177
13-Jun-25,EQ,"1,920.00","1,933.00","1,913.00","1,943.40","1,919.50","1,917.60","1,920.08","1,996.30","1,552.20",6058881,"11,63,35,22,704.60",187789
12-Jun-25,EQ,"1,950.00","1,961.00","1,935.30","1,950.40","1,940.00","1,943.40","1,945.18","1,996.30","1,552.20",8174565,"15,90,10,14,848.90",179174
11-Jun-25,EQ,"1,967.60","1,967.60","1,947.00","1,965.30","1,947.90","1,950.40","1,956.28","1,996.30","1,552.20",5548197,"10,85,38,32,767.00",181762
10-Jun-25,EQ,"1,982.80","1,982.80","1,961.10","1,978.90","1,962.80","1,965.30","1,967.94","1,996.30","1,552.20",7766563,"15,28,41,54,944.50",281306
09-Jun-25,EQ,"1,995.00","1,995.00","1,975.90","1,978.70","1,980.10","1,978.90","1,982.15","1,996.30","1,552.20",6601294,"13,08,47,80,209.80",203285
06-Jun-25,EQ,"1,944.00","1,996.30","1,942.70","1,949.60","1,978.00","1,978.70","1,976.03","1,996.30","1,454.00",15063504,"29,76,59,91,590.30",354572
05-Jun-25,EQ,"1,948.00","1,958.90","1,940.20","1,941.20","1,952.00","1,949.60","1,950.15","1,978.90","1,454.00",11127709,"21,70,06,98,216.20",216860
04-Jun-25,EQ,"1,921.00","1,943.30","1,920.90","1,924.60","1,939.50","1,941.20","1,935.52","1,978.90","1,454.00",6480771,"12,54,36,93,178.60",205372
03-Jun-25,EQ,"1,938.00","1,952.00","1,920.00","1,932.10","1,923.50","1,924.60","1,933.85","1,978.90","1,454.00",12188792,"23,57,13,32,796.70",202204
02-Jun-25,EQ,"1,930.10","1,936.00","1,908.00","1,944.90","1,931.00","1,932.10","1,924.65","1,978.90","1,454.00",7334411,"14,11,61,52,681.30",202297
30-May-25,EQ,"1,931.90","1,948.80","1,925.40","1,927.50","1,941.50","1,944.90","1,939.36","1,978.90","1,454.00",14374039,"27,87,63,95,261.10",152055
29-May-25,EQ,"1,928.00","1,940.80","1,907.30","1,923.50","1,937.60","1,927.50","1,921.28","1,978.90","1,454.00",14458897,"27,77,95,60,938.60",215462
28-May-25,EQ,"1,920.20","1,934.50","1,917.70","1,926.30","1,928.40","1,923.50","1,922.92","1,978.90","1,454.00",9078797,"17,45,78,06,722.10",179687
27-May-25,EQ,"1,931.60","1,948.00","1,916.30","1,940.20","1,926.80","1,926.30","1,927.12","1,978.90","1,454.00",13081074,"25,20,87,51,300.70",202672
26-May-25,EQ,"1,935.00","1,949.90","1,926.90","1,933.60","1,940.30","1,940.20","1,939.47","1,978.90","1,454.00",5401430,"10,47,59,11,940.90",201842
23-May-25,EQ,"1,920.10","1,937.00","1,914.50","1,919.90","1,933.50","1,933.60","1,929.98","1,978.90","1,448.15",4783036,"9,23,11,50,800.40",116301
22-May-25,EQ,"1,915.20","1,924.20","1,905.20","1,926.80","1,924.00","1,919.90","1,914.84","1,978.90","1,448.15",10653335,"20,39,94,11,133.40",255429
21-May-25,EQ,"1,927.00","1,946.90","1,921.10","1,914.90","1,925.20","1,926.80","1,930.42","1,978.90","1,448.15",7566020,"14,60,55,82,585.70",205548
